HPI_CHANGE,FIPS,YEAR,STATE,CZ_NAME,FLOOD_COUNT,FLOOD_TOTAL_DAMAGE_PROPERTY,FLOOD_TOTAL_DURATION_HOURS,value,HEAT_INDEX,HSI,STATE_ABBR,DROUGHT_INDEX,FIRE_COUNT,FIRE_TOTAL_FIRE_SIZE,HURRICANE_DEATHS,HURRICANE_INJURIES,HURRICANE_DAMAGE
6.229,1003,2020,ALABAMA,BALDWIN,6,0.0,34.63,89.8,0.1408506965014132,0.3520109807342974,AL,-0.2,46,2067.55,2.0,0.0,236080000
18.322,12127,2004,FLORIDA,VOLUSIA,6,3000000.0,531.8100000000001,91.4,0.3574249363867685,0.5772704213893854,FL,0.89,144,743.0,2.0,0.0,353200000
10.071,12127,2016,FLORIDA,VOLUSIA,1,0.0,26.0,92.7,0.4149465648854962,0.507517594939842,FL,-2.4,176,7018.0,5.0,0.0,514400000
7.957,1067,2005,ALABAMA,HENRY,14,0.0,2.0,89.0,0.035205500227491,0.2943239523145656,AL,1.67,3,245.5,0.0,0.0,100000
2.11,1069,2018,ALABAMA,HOUSTON,9,5000.0,29.05,90.8,0.1941011660095629,0.3498210321616644,AL,1.19,12,86.0,0.0,0.0,2940000
4.786,37147,2005,NORTH CAROLINA,PITT,8,0.0,4.220000000000001,88.8,0.2999634839764211,0.3829534326411312,NC,0.14,22,111.3,0.0,0.0,0
9.526,28047,2005,MISSISSIPPI,HARRISON,8,50000.0,6.0,90.0,0.2229007633587786,0.3772996239585722,MS,0.41,19,417.22,97.0,0.0,2940000000
9.526,28059,2005,MISSISSIPPI,JACKSON,41,200000.0,7.0,89.8,0.1469575667304209,0.3575069589644927,MS,0.55,5,353.62,13.0,0.0,1100000000
2.548,28059,2017,MISSISSIPPI,JACKSON,67,0.0,5.5,87.8,-0.0037507828235812,0.3019624912842076,MS,2.29,55,2599.4,0.0,0.0,0
4.603,28131,2004,MISSISSIPPI,STONE,6,0.0,2.25,89.8,0.0579650462032944,0.4710783945804017,MS,-0.36,9,142.2,0.0,0.0,0
9.526,28131,2005,MISSISSIPPI,STONE,7,0.0,9.5,90.5,0.1266924467657693,0.3622778937816048,MS,0.01,9,41.75,0.0,0.0,250000000
-0.298,22105,2008,LOUISIANA,TANGIPAHOA,2,0.0,6.0,91.5,0.2763812758516327,0.4895187153327428,LA,-0.72,55,524.4903,0.0,0.0,250000
-0.483,22105,2012,LOUISIANA,TANGIPAHOA,1,0.0,2.0,90.7,0.2008659246057101,0.3250423137824449,LA,-0.35,37,344.40000000000003,0.0,0.0,4600000
3.866,28035,2004,MISSISSIPPI,FORREST,4,347000.0,6.92,89.4,-0.0041083487694058,0.432493584289542,MS,-0.37,10,71.4,0.0,0.0,125050
4.689,28035,2005,MISSISSIPPI,FORREST,3,440000.0,11.33,90.9,0.0942345230876575,0.3598857246243523,MS,-0.52,18,496.75000000000006,0.0,0.0,840170000
4.689,28073,2005,MISSISSIPPI,LAMAR,8,1100000.0,12.62,90.9,0.1334701539231636,0.374069076863576,MS,-0.78,1,0.1,0.0,10.0,480000000
3.866,28111,2004,MISSISSIPPI,PERRY,31,0.0,2.25,89.7,0.0094274809160305,0.444690177632663,MS,-0.3,21,589.8,0.0,0.0,0
4.689,28111,2005,MISSISSIPPI,PERRY,17,0.0,9.5,90.8,0.0868304015930965,0.3506500158963533,MS,-0.45,53,8603.220000000001,0.0,0.0,0
1.011,22109,2012,LOUISIANA,TERREBONNE,2,10000.0,3.37,89.1,0.1574348409597975,0.266261720988507,LA,0.13,1,614.0,0.0,0.0,2670000
4.607,48071,2007,TEXAS,CHAMBERS,1,40000.0,1.67,88.8,0.0923527808069793,0.3488210264301532,TX,2.46,10,13.6,0.0,0.0,500000
4.607,48167,2007,TEXAS,GALVESTON,2,0.0,8.8,88.3,0.0635100826615833,0.3283383068900356,TX,1.73,22,549.5,0.0,0.0,2500000
0.462,48167,2008,TEXAS,GALVESTON,1,0.0,1.0,90.2,0.2961233683526666,0.4622829829763314,TX,-0.43,31,958.5,8.0,0.0,1000000000
3.553,48201,2003,TEXAS,HARRIS,4,3006000.0,14.67,91.6,0.1293390592163735,0.4260441946866502,TX,-0.12,2,7.0,0.0,0.0,0
4.276,48201,2005,TEXAS,HARRIS,7,165000.0,6.52,93.8,0.3543895206372675,0.5029408360462656,TX,-0.58,21,34.0,0.0,0.0,90000000
0.462,48201,2008,TEXAS,HARRIS,3,100000.0,6.27,93.1,0.2948575035925208,0.5345692126563697,TX,0.08,12,46.0,9.0,2400.0,2000000000
4.276,48291,2005,TEXAS,LIBERTY,5,45000.0,2.83,93.3,0.3568414466274559,0.4957598016716724,TX,-1.25,32,674.0,2.0,0.0,7000000
0.462,48291,2008,TEXAS,LIBERTY,5,0.0,4.7,92.2,0.2641321486672506,0.5028178932051224,TX,0.09,29,300.0,0.0,0.0,220000000
4.276,48339,2005,TEXAS,MONTGOMERY,41,5000.0,2.0,94.4,0.3272450882916047,0.4942932340536439,TX,-0.76,84,689.0,0.0,0.0,2500000
0.462,48339,2008,TEXAS,MONTGOMERY,43,150000.0,1.58,93.4,0.2413972177257003,0.5052478146476532,TX,-0.02,43,540.85,2.0,0.0,500000000
3.008,28123,2002,MISSISSIPPI,SCOTT,43,15000.0,2.0,89.8,0.1050650113245533,0.3075999969465287,MS,0.42,3,54.2,0.0,0.0,71430
5.726,28123,2005,MISSISSIPPI,SCOTT,6,380000.0,5.25,90.5,0.1554819226574952,0.369431647155192,MS,1.28,4,12.5,0.0,0.0,145000000
4.849,37133,2018,NORTH CAROLINA,ONSLOW,2,0.0,3.75,88.4,0.3349744379858534,0.3343938237379059,NC,3.01,51,45.76,0.0,0.0,34500000
1.683,22001,2008,LOUISIANA,ACADIA,1,10000.0,2.18,91.3,0.1457010191961059,0.4274030317334091,LA,-0.5,2,9.5,0.0,0.0,20000000
3.292,13021,2005,GEORGIA,BIBB,10,500000.0,56.82,88.8,0.0129754215250398,0.2662943235736669,GA,1.66,15,46.98,0.0,0.0,0
3.292,13079,2005,GEORGIA,CRAWFORD,36,5000.0,6.5,88.8,0.046094737374248,0.2804260423597093,GA,1.5,57,91.15,0.0,0.0,0
3.292,13169,2005,GEORGIA,JONES,10,0.0,24.0,88.3,0.0079076571274842,0.2375678282858257,GA,1.62,58,127.81,0.0,0.0,0
3.292,13207,2005,GEORGIA,MONROE,24,15000.0,30.0,88.2,0.0189860163480375,0.2442737991864732,GA,1.58,39,105.22,0.0,0.0,0
3.292,13289,2005,GEORGIA,TWIGGS,1,0.0,9.75,88.9,0.0173330310130249,0.2770910910058192,GA,1.72,97,199.37,0.0,0.0,0
2.425,1097,2004,ALABAMA,MOBILE,2,10000.0,5.67,89.4,0.0954418510180938,0.4795252040786801,AL,0.3,365,4004.0,0.0,0.0,2525000000
5.849,1097,2005,ALABAMA,MOBILE,7,80000.0,39.98,89.7,0.1279717675733315,0.351218931336218,AL,0.34,221,8210.7,0.0,0.0,1120100000
5.987,1097,2020,ALABAMA,MOBILE,2,25000.0,433.98,90.3,0.2296728220578527,0.3785067022008999,AL,-0.31,47,2399.6,0.0,0.0,75960000
3.235,22083,2005,LOUISIANA,RICHLAND,29,52000.0,2.67,93.3,0.3328044921047604,0.4812019714855385,LA,-1.63,11,124.0,0.0,0.0,6200000
4.06,45051,2016,SOUTH CAROLINA,HORRY,11,8250000.0,58.63,90.9,0.396561012762808,0.4358558630290907,SC,2.01,31,162.9,0.0,0.0,134000000
5.086,45051,2018,SOUTH CAROLINA,HORRY,8,90000.0,27.95,89.2,0.2751379123385286,0.3315570624100596,SC,1.59,25,72.4,2.0,0.0,40000
4.394,12021,2017,FLORIDA,COASTAL COLLIER COUNTY,8,40000.0,129.25,91.0,0.1330353555644837,0.4399896651125109,FL,1.06,59,14882.2,2.0,0.0,222500000
2.5,22071,2012,LOUISIANA,ORLEANS,10,85000.0,10.93,89.2,0.1893129770992366,0.2754613885240707,LA,1.1,3,172.3,0.0,0.0,26800000
5.671,22071,2020,LOUISIANA,ORLEANS,6,0.0,1.0,89.2,0.1893129770992366,0.351363586276374,LA,-0.37,1,0.1,1.0,1.0,25000000
7.519,12081,2017,FLORIDA,MANATEE,1,1340000.0,54.0,91.1,0.2818404959723335,0.4642355103924546,FL,-0.15,28,153.2,1.0,0.0,41800000
7.519,12115,2017,FLORIDA,SARASOTA,1,50000.0,54.0,91.3,0.2554131364818387,0.4579918347512802,FL,-0.37,35,3227.0,0.0,0.0,12930000
24.02,12009,2004,FLORIDA,BREVARD,2,0.0,28.5,90.0,0.3463553697009248,0.5457517122308301,FL,-0.1,66,1831.7,0.0,0.0,421800000
13.003,12009,2016,FLORIDA,BREVARD,2,5000.0,30.0,90.6,0.3931529551172515,0.4091320085724764,FL,0.6,71,4063.2,0.0,1.0,75000000
9.949,12005,2018,FLORIDA,BAY,3,1000.0,4.25,90.6,0.3232384192574989,0.3857766854893564,FL,0.35,25,608.0,21.0,0.0,6350000000
28.536,12133,2005,FLORIDA,WASHINGTON,48,500000.0,48.0,90.0,0.080209839593772,0.3483997626895216,FL,0.38,26,218.1,0.0,0.0,500000
9.949,12133,2018,FLORIDA,WASHINGTON,152,0.0,63.28,91.0,0.2394895248343814,0.3662292616859672,FL,0.9,17,76.0,4.0,0.0,400000000
12.549,12033,2004,FLORIDA,ESCAMBIA,4,0.0,2.0,89.2,0.0531041005201648,0.4642195035786656,FL,0.61,47,929.8,6.0,0.0,4025000000
26.786,12033,2005,FLORIDA,ESCAMBIA,9,290000.0,39.48,89.5,0.0886830372221846,0.3321756573682863,FL,1.68,43,197.9,0.0,0.0,1500300000
7.571,12033,2020,FLORIDA,ESCAMBIA,4,0.0,38.88,89.7,0.1174913868810376,0.3408649968332884,FL,-0.38,16,1221.3,0.0,0.0,30000000
26.786,12113,2005,FLORIDA,SANTA ROSA,7,53000.0,38.15,89.7,0.0819344033261233,0.333236838217952,FL,1.86,91,268.6,0.0,0.0,0
23.741,12085,2004,FLORIDA,MARTIN,20,0.0,12.9,91.0,0.3537338201128444,0.5694667253532312,FL,-0.33,57,783.3,0.0,0.0,1021300000
23.741,12111,2004,FLORIDA,ST. LUCIE,1,0.0,12.9,90.4,0.342589271991393,0.5513363398649254,FL,0.44,28,1050.6,0.0,0.0,2547200000
5.159,13051,2016,GEORGIA,COASTAL CHATHAM,6,20000.0,11.47,93.4,0.4196132315521629,0.5557335641138842,GA,0.09,9,18.19,1.0,2.0,0
22.129,12061,2004,FLORIDA,INDIAN RIVER,2,0.0,26.9,90.3,0.3507487777682477,0.5579119347887516,FL,0.4,38,772.2,0.0,0.0,1020300000
11.126,12061,2016,FLORIDA,INDIAN RIVER,2,50000.0,21.0,91.0,0.4073762758384081,0.4294455026657844,FL,0.18,26,1111.0,0.0,0.0,15800000
7.117,22015,2005,LOUISIANA,BOSSIER,4,50000.0,11.87,94.1,0.3255427778328541,0.4986332628315516,LA,-1.74,69,339.25,0.0,0.0,0
7.117,22017,2005,LOUISIANA,CADDO,9,81000.0,14.98,94.5,0.3298682670271874,0.5094236777859114,LA,-1.86,64,803.5,0.0,0.0,0
9.871,22103,2005,LOUISIANA,ST. TAMMANY,1,0.0,4.67,90.8,0.2696399857822311,0.4152534505921799,LA,-0.36,139,1556.5,2.0,0.0,2545000000
-3.538,22103,2008,LOUISIANA,ST. TAMMANY,1,0.0,3.0,90.6,0.2499889981550752,0.4517389578358665,LA,-0.13,55,946.15,0.0,0.0,510000
-0.048,22103,2012,LOUISIANA,ST. TAMMANY,7,0.0,8.28,90.1,0.1947546588581777,0.3062361041347488,LA,0.25,27,136.11,0.0,0.0,4760000
3.853,22103,2020,LOUISIANA,ST. TAMMANY,4,46000.0,0.02,90.3,0.2235659518288451,0.3785067022008999,LA,0.55,21,460.42,0.0,0.0,15000000
4.975,12039,2018,FLORIDA,GADSDEN,2,0.0,15.07,90.5,0.1395597489546761,0.3294943743738415,FL,0.73,23,108.2,2.0,0.0,450000000
16.526,12073,2005,FLORIDA,LEON,2,500000.0,4.0,90.0,0.0568773514550741,0.3376931730316682,FL,0.31,11,83.7,0.0,0.0,2000000
4.975,12073,2018,FLORIDA,LEON,2,0.0,7.6,90.5,0.1212391382676532,0.3294943743738415,FL,0.51,16,6004.17,3.0,0.0,150000000
4.975,12129,2018,FLORIDA,WAKULLA,1,0.0,1.75,90.5,0.1500314916987881,0.335038418743079,FL,0.38,22,219.17,2.0,0.0,350000000
2.453,48469,2017,TEXAS,VICTORIA,2,20000000.0,167.98,94.2,0.2757914415263897,0.4980323483898392,TX,-0.1,172,1700.26,0.0,0.0,160000000
-7.647,37029,2011,NORTH CAROLINA,CAMDEN,15,0.0,22.0,88.9,0.4146993437792956,0.3889290225896296,NC,-1.73,22,106.6,0.0,0.0,1000000
-7.647,37053,2011,NORTH CAROLINA,CURRITUCK,1,0.0,22.0,88.1,0.4194552599485071,0.3834035431226738,NC,-1.91,60,42.3,0.0,0.0,1500000
3.986,37053,2019,NORTH CAROLINA,EASTERN CURRITUCK,2,0.0,11.0,86.0,0.3465287501693843,0.4230430952640718,NC,0.08,30,19.25,0.0,0.0,150000
11.315,51199,2003,VIRGINIA,YORK,13,0.0,1.0,85.2,0.100316210462558,0.2825646607120678,VA,4.27,1,1.5,0.0,0.0,133125000
11.315,51800,2003,VIRGINIA,SUFFOLK (C),1,0.0,1.25,86.0,0.0996597500132221,0.3026295579569568,VA,3.05,1,2.0,0.0,0.0,33000000
3.813,13153,2005,GEORGIA,HOUSTON,6,250000.0,34.730000000000004,88.9,0.0271395904092545,0.2806240910977043,GA,1.54,33,73.83,0.0,0.0,0
3.813,13225,2005,GEORGIA,PEACH,4,25000.0,9.72,88.6,0.023396188261463,0.2660203954609459,GA,1.52,18,33.96,0.0,0.0,0
4.588,37019,2016,NORTH CAROLINA,BRUNSWICK,9,3555000.0,32.02,89.8,0.3984002503955903,0.4095669911298557,NC,2.91,64,1997.97,0.0,0.0,0
6.374,37019,2018,NORTH CAROLINA,BRUNSWICK,10,550000.0,34.85,88.3,0.2843328870263785,0.3110556564977739,NC,2.37,41,181.98,0.0,0.0,200000
4.588,37129,2016,NORTH CAROLINA,NEW HANOVER,13,2305000.0,42.27,89.7,0.4014692698042424,0.407747342427894,NC,3.79,15,21.43,0.0,0.0,0
6.374,37129,2018,NORTH CAROLINA,NEW HANOVER,9,2350000.0,34.02,89.0,0.3356115139223759,0.3507959319378693,NC,4.73,2,0.75,1.0,1.0,1000000000
4.588,37141,2016,NORTH CAROLINA,PENDER,13,925000.0,36.67,89.8,0.3885418023604199,0.4051558088268747,NC,4.19,27,37.62,0.0,0.0,0
6.374,37141,2018,NORTH CAROLINA,PENDER,7,5180000.0,33.67,89.1,0.3196415079592527,0.3497992796984677,NC,4.16,35,104.84,0.0,0.0,300000000
